maker,model,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Ford,Ford Focus,234570,219634,202478,168789,158385,113345.0,12480.0,0.0,0.0,0
Ford,Ford Crown Victoria,10897,10234,9765,9472,7994,0.0,0.0,0.0,0.0,0
Ford,Ford Fusion,295280,306860,300170,265840,209623,173600.0,166045.0,110665.0,11781.0,0
Ford,Ford Mustang,77186,82635,122349,105932,81866,75842.0,72489.0,61090.0,52414.0,47566
Ford,Ford Taurus,69063,52395,39051,34626,33242,36088.0,13351.0,0.0,0.0,0
Ford,Ford GT,0,0,0,0,89,126.0,229.0,175.0,143.0,99
Ford,Ford C0MAX,35210,27595,21768,19834,18390,6683.0,38.0,0.0,0.0,0
Ford,Ford F0Series,763402,753851,780354,820799,896764,909330.0,896526.0,787422.0,726004.0,653957
Ford,Ford Maverick,0,0,0,0,0,0.0,0.0,0.0,13258.0,74370
Ford,Ford Ranger,0,0,0,0,0,0.0,89571.0,101486.0,94755.0,57005
Ford,Ford EcoSport,0,0,0,0,0,54348.0,64708.0,60545.0,40659.0,29193
Ford,Ford Bronco Sport,0,0,0,0,0,0.0,0.0,5120.0,108169.0,99547
Ford,Ford Escape,295993,306212,306492,307069,308296,272228.0,241388.0,178496.0,145415.0,137370
Ford,Ford Bronco,0,0,0,0,0,0.0,0.0,0.0,35023.0,117057
Ford,Ford Edge,129109,108864,124120,134588,142603,134122.0,138515.0,108886.0,85225.0,85465
Ford,Ford Explorer,192397,209994,249251,248507,271131,261571.0,187061.0,226217.0,219871.0,207673
Ford,Ford Flex,25953,23822,19570,22668,22389,20308.0,24484.0,4848.0,0.0,0
Ford,Ford Mustang Mach0E,0,0,0,0,0,0.0,0.0,3.0,27140.0,39458
Ford,Ford Expedition,38350,44632,41443,59835,51883,54661.0,86422.0,77838.0,81988.0,62007
Ford,Ford E0Series,125356,103263,50788,54245,53304,47936.0,45063.0,37001.0,37122.0,32150
Ford,Ford Transit,0,20448,117577,143244,127360,137794.0,153868.0,131556.0,99745.0,99382
Ford,Ford Transit Connect,39703,43210,52221,43232,34473,31923.0,41598.0,34596.0,26112.0,25140
GMC,GMC Canyon,929,3070,30077,37449,32106,33492.0,32825.0,25190.0,24125.0,27819
GMC,GMC Sierra,184389,211833,224139,221680,217943,219554.0,232323.0,253016.0,248924.0,241522
GMC,GMC Hummer Pickup,0,0,0,0,0,0.0,0.0,0.0,1.0,854
GMC,GMC Pickup Truck Total,185318,214903,254216,259129,250049,253046.0,265148.0,278206.0,273050.0,270195
GMC,GMC Terrain,99525,105016,112030,87925,85441,114314.0,101470.0,86020.0,47488.0,86567
GMC,GMC Acadia,89793,83972,96393,88466,111276,88621.0,99429.0,72537.0,59913.0,53014
GMC,GMC Yukon,28302,41569,42732,53447,49183,46190.0,42510.0,40965.0,51365.0,48220
GMC,GMC Yukon XL,31258,29752,31334,37054,35059,34594.0,32163.0,22475.0,32877.0,34084
GMC,GMC Savana,16705,26641,21992,20607,29679,19684.0,24226.0,15108.0,17744.0,25569
Honda,Honda Fit (Jazz),53513,59340,52724,56630,49454,35300.0,35414.0,32488.0,8695.0,0
